OD id,OD definition,OED id,First attested
up_1_adjective_4,(of a computer system) functioning properly.,up_adv2.13b,1549
van_1_noun_1,"A medium-sized motor vehicle, typically without side windows in the rear part, for transporting goods.",van_n3.1b,1970
vehicle_1_noun_1,"A thing used for transporting people or goods, especially on land, such as a car, lorry, or cart.",vehicle_n3b,1615
vehicle_1_noun_3,"A film, television programme, song, etc. that is intended to display the leading performer to the best advantage.",vehicle_n5,1785
wake_2_noun_1,A trail of disturbed water or air left by the passage of a ship or aircraft.,wake_n2.2a,1753
wash_1_noun_2,The water or air disturbed by a moving boat or aircraft.,wash_n6ba,1883
watch_1_noun_3,A film or programme considered in terms of its appeal to the public.,?,?
western_1_noun_1,"A film, television drama, or novel about cowboys in western North America, set especially in the late 19th and early 20th centuries.",western_n2.4,1910
wheel_1_noun_3,A car.,wheel_n7c,1959
wheel_1_verb_2,(of a bird or aircraft) fly in a wide circle or curve.,wheel_v4c,1805
whip_1_noun_3,"A dessert consisting of cream or eggs beaten into a light fluffy mass with fruit, chocolate, or other ingredients.",whip_n8,1756
whip_1_noun_8,A car.,?,?
wing_1_noun_2,A rigid horizontal structure that projects from both sides of an aircraft and supports it in the air.,wing_n5d,1740
wing_1_noun_3,A raised part of the body of a car or other vehicle above the wheel.,wing_n6e,1783
wing_1_noun_7,"(in soccer, rugby, and hockey) the part of the field close to the sidelines.",wing_n7b,1882
wing_1_verb_1,Travel on wings or by aircraft; fly.,wing_v2a,1616
wipe_1_verb_3,Pass (a swipe card) over an electronic reader.,wipe_v_1997,1985
wire_1_noun_2,An electronic listening device that can be concealed on a person.,wire_n1.9c,1973
wire_1_verb_1,Install electric circuits or wires in.,wire_v9a,1890
average_1_noun_1,A number expressing the central or typical value in a set of data,average_n2.6a,1755
burn_1_noun_4,A cigarette.,burn_n3.1e,1941
card_1_noun_2,A small rectangular piece of plastic containing personal data in a machine-readable form and used to obtain cash or credit or to pay for a telephone call,card_n2.17b,1837
crawl_1_verb_4,(of a program) systematically visit (a number of web pages) in order to create an index of data.,crawl_v1_2009b,1993
drag_1_noun_3,An act of inhaling smoke from a cigarette.,drag_n6f,1914
draw_1_noun_4,An act of drawing on a cigarette or cigar.,draw_n14a,1823
flag_1_noun_3,A variable used to indicate a particular property of the data in a record.,flag_n4.1h,1959
joint_1_noun_4,A cannabis cigarette.,joint_n1.14c,1935
mode_1_noun_3,The value that occurs most frequently in a given set of data.,mode_n13a,1895
noisy_1_adjective_2,Accompanied by or introducing random fluctuations that obscure the real signal or data.,noisy_adj_2b,1944
save_1_noun_2,An act of saving data to a storage location.,save_n2.4,1982
save_1_verb_3,Keep (data) by moving a copy to a storage location.,save_v16a,1961
skin_1_verb_5,Make a cannabis cigarette.,skin_v14,1985
sort_1_noun_2,The arrangement of data in a prescribed sequence.,sort_n4,1956
stream_1_noun_3,A continuous flow of data or instructions,stream_n_1993,1948
write_1_verb_4,Enter (data) into a specified storage medium or location in store.,write_v13,1946
